LR,pval,hr,median_day_low,median_day_high,diff_day
XCL2->XCR1,0.058024890636174664,1.5746229908230511,456,607.5,151.5
NRTN->GFRA2,0.058377956404162545,1.3738522024806725,456,588.5,132.5
EDN1->EDNRB,0.058727044781636706,1.3787532184900317,461.5,579,117.5
TIMP2->ITGB1,0.058968760309718427,0.7025408273554743,607,455,-152
ANXA1->FPR3,0.05933627969929378,0.711961043907748,632,437,-195
ANXA1->FPR1,0.05933627969929378,0.711961043907748,632,437,-195
HGF->SDC2,0.05972602147807027,1.4521459843518039,440.5,608,167.5
SCT->SCTR,0.06005001809319699,1.5083605493832317,475.5,547,71.5
VIP->SCTR,0.06005001809319699,1.5083605493832317,475.5,547,71.5
WNT7B->FZD4,0.06013616127879484,0.7891137054868569,610,446,-164
CNTF->CNTFR,0.06026506505788409,1.4111458773682297,450.5,633,182.5
WNT7A->FZD9,0.06055110260670182,0.692574827412382,606,455,-151
CLEC2D->KLRB1,0.060940753600387865,0.8157113210524191,628,437,-191
KLRB1->CLEC2D,0.060940753600387865,0.8157113210524191,628,437,-191
LRPAP1->LRP2,0.0610887081241992,1.337357200210263,517,539,22
APOE->LRP5,0.06169084784598666,1.3299229997650146,491.5,547,55.5
ADAM11->ITGA4,0.061801841549888215,1.4581682780536056,437,608,171
WNT2->FZD8,0.06320585225645226,1.2621087631495607,437,590,153
MMP9->LRP1,0.06379857368305442,1.2826634798844898,487.5,590,102.5
MMP1->ITGA2,0.064686472261904715,0.6711687237177616,626,444,-182
PTGS2->PTGDR2,0.06475858949086166,0.6876695184151956,643,456,-187
HSP90AA1->EGFR,0.06523932424644918,0.7242600777460743,577,456,-121
CCL13->CCR5,0.06542354119253124,1.3980621215518665,482.5,579,96.5
CD84->CD84,0.06553564161628356,1.566595247098418,493,539,46
SIRPG->CD47,0.06565145229001312,0.7010010559177186,616.5,437,-179.5
CD47->SIRPG,0.06565145229001312,0.7010010559177186,616.5,437,-179.5
COMP->ITGA5,0.06570907526203584,0.7134711049980784,585,456,-129
SLIT3->ROBO2,0.06593577286696028,1.298805955287354,422,608,186
CCL11->CCR5,0.06653539011227316,1.5178719926980053,469,573,104
PTMA->VIPR1,0.06711971218633683,0.7121062536030551,599,463,-136
SEMA7A->ITGB1,0.0678880451071534,0.6787951811672079,606,444,-162
