LR,cell_type_pair,Edge_average_expression_weight,Patient
CXCL16->CXCR6,TIL->EMT,0.005854685060505365,P01
CXCL16->CXCR6,TIL->TIL,0.5371401564577445,P01
VIP->VIPR1,NA,NA,NA
C1QB->LRP1,DC->CAF,0.08624002572030835,P01
C1QB->LRP1,DC->EMT,0.1398912818618195,P01
C1QB->LRP1,DC->ETC,0.04511103487935417,P01
C1QB->LRP1,DC->Endo,0.044227137532731,P01
C1QB->LRP1,DC->TAM,0.1546632040577507,P01
C1QB->LRP1,EMT->CAF,0.002621755130351385,P01
C1QB->LRP1,EMT->EMT,0.004252789616530574,P01
C1QB->LRP1,EMT->ETC,0.001371405981649146,P01
C1QB->LRP1,EMT->Endo,0.001344534904282717,P01
C1QB->LRP1,EMT->TAM,0.004701866045704392,P01
C1QB->LRP1,TAM->CAF,0.7233470069564587,P01
C1QB->LRP1,TAM->EMT,1.173352387002137,P01
C1QB->LRP1,TAM->ETC,0.3783734036271874,P01
C1QB->LRP1,TAM->Endo,0.3709596245287187,P01
C1QB->LRP1,TAM->TAM,1.29725339025641,P01
IL33->IL1RL1,NA,NA,NA
AGRP->MC3R,NA,NA,NA
SLURP1->CHRNA7,NA,NA,NA
OMG->TNFRSF1B,NA,NA,NA
NCR3LG1->NCR3,EMT->TIL,0.01382825716511761,P01
NCR3LG1->NCR3,ETC->TIL,0.01516495532681051,P01
NECTIN2->TIGIT,NA,NA,NA
TIGIT->NECTIN2,NA,NA,NA
SERPINE2->LRP1,CAF->CAF,0.6183219203431731,P01
SERPINE2->LRP1,CAF->EMT,1.002989566823602,P01
SERPINE2->LRP1,CAF->ETC,0.3234361479173548,P01
SERPINE2->LRP1,CAF->Endo,0.3170987993348905,P01
SERPINE2->LRP1,CAF->TAM,1.1089009835127701,P01
