LR,cell_type_pair,Patient
ANGPT1->TEK,Endo->ETC,P09
ANGPT1->TEK,Endo->Endo,P09
ANGPT1->TEK,TAM->CAF,P09
ANGPT1->TEK,TAM->ETC,P09
ANGPT1->TEK,TAM->Endo,P09
DHH->PTCH1,NA,NA
SHH->LRP2,NA,NA
FGF18->FGFR4,CAF->ETC,P09
FGF18->FGFR4,CAF->TAM,P09
FGF18->FGFR4,ETC->ETC,P09
FGF18->FGFR4,ETC->TAM,P09
FGF18->FGFR4,Endo->ETC,P09
FGF18->FGFR4,Endo->TAM,P09
FGF18->FGFR4,TAM->ETC,P09
FGF18->FGFR4,TAM->TAM,P09
SLIT3->ROBO2,CAF->CAF,P09
SLIT3->ROBO2,ETC->CAF,P09
SLIT3->ROBO2,TAM->CAF,P09
RGMB->NEO1,CAF->CAF,P09
RGMB->NEO1,CAF->ETC,P09
RGMB->NEO1,ETC->CAF,P09
RGMB->NEO1,ETC->ETC,P09
RGMB->NEO1,Endo->CAF,P09
RGMB->NEO1,Endo->ETC,P09
RGMB->NEO1,TAM->CAF,P09
RGMB->NEO1,TAM->ETC,P09
ANGPT4->TEK,NA,NA
NTNG2->LRRC4,CAF->Endo,P09
LRPAP1->SORT1,CAF->CAF,P09
LRPAP1->SORT1,CAF->DC,P09
LRPAP1->SORT1,CAF->ETC,P09
LRPAP1->SORT1,CAF->Endo,P09
LRPAP1->SORT1,CAF->TAM,P09
LRPAP1->SORT1,DC->CAF,P09
LRPAP1->SORT1,DC->DC,P09
LRPAP1->SORT1,DC->ETC,P09
LRPAP1->SORT1,DC->Endo,P09
LRPAP1->SORT1,DC->TAM,P09
LRPAP1->SORT1,ETC->CAF,P09
LRPAP1->SORT1,ETC->DC,P09
LRPAP1->SORT1,ETC->ETC,P09
LRPAP1->SORT1,ETC->Endo,P09
LRPAP1->SORT1,ETC->TAM,P09
LRPAP1->SORT1,Endo->CAF,P09
LRPAP1->SORT1,Endo->DC,P09
LRPAP1->SORT1,Endo->ETC,P09
LRPAP1->SORT1,Endo->Endo,P09
LRPAP1->SORT1,Endo->TAM,P09
LRPAP1->SORT1,TAM->CAF,P09
LRPAP1->SORT1,TAM->DC,P09
LRPAP1->SORT1,TAM->ETC,P09
LRPAP1->SORT1,TAM->Endo,P09
LRPAP1->SORT1,TAM->TAM,P09
LRPAP1->SORT1,TIL->CAF,P09
LRPAP1->SORT1,TIL->DC,P09
LRPAP1->SORT1,TIL->ETC,P09
LRPAP1->SORT1,TIL->Endo,P09
LRPAP1->SORT1,TIL->TAM,P09
NLGN1->NRXN3,CAF->CAF,P09
NLGN1->NRXN3,CAF->ETC,P09
NLGN1->NRXN3,ETC->CAF,P09
NLGN1->NRXN3,ETC->ETC,P09
CORT->SSTR1,NA,NA
FGF16->FGFR4,NA,NA
FGF17->FGFR4,NA,NA
FGF20->FGFR4,ETC->ETC,P09
FGF20->FGFR4,ETC->TAM,P09
FGF21->FGFR4,NA,NA
FGF23->FGFR4,NA,NA
FGF4->FGFR4,NA,NA
FGF6->FGFR4,NA,NA
FGF8->FGFR4,NA,NA
IHH->PTCH2,CAF->CAF,P09
IHH->PTCH2,CAF->ETC,P09
IHH->PTCH2,CAF->Endo,P09
IHH->PTCH2,CAF->TAM,P09
IHH->PTCH2,ETC->CAF,P09
IHH->PTCH2,ETC->ETC,P09
IHH->PTCH2,ETC->Endo,P09
IHH->PTCH2,ETC->TAM,P09
FGF3->FGFR4,NA,NA
GHRL->MLNR,NA,NA
FGF5->FGFR4,CAF->ETC,P09
FGF5->FGFR4,CAF->TAM,P09
APOE->LRP5,CAF->CAF,P09
APOE->LRP5,CAF->DC,P09
APOE->LRP5,CAF->ETC,P09
APOE->LRP5,CAF->Endo,P09
APOE->LRP5,CAF->TAM,P09
APOE->LRP5,DC->CAF,P09
APOE->LRP5,DC->DC,P09
APOE->LRP5,DC->ETC,P09
APOE->LRP5,DC->Endo,P09
APOE->LRP5,DC->TAM,P09
APOE->LRP5,ETC->CAF,P09
APOE->LRP5,ETC->DC,P09
APOE->LRP5,ETC->ETC,P09
APOE->LRP5,ETC->Endo,P09
APOE->LRP5,ETC->TAM,P09
APOE->LRP5,Endo->CAF,P09
APOE->LRP5,Endo->DC,P09
APOE->LRP5,Endo->ETC,P09
APOE->LRP5,Endo->Endo,P09
APOE->LRP5,Endo->TAM,P09
APOE->LRP5,TAM->CAF,P09
APOE->LRP5,TAM->DC,P09
APOE->LRP5,TAM->ETC,P09
APOE->LRP5,TAM->Endo,P09
APOE->LRP5,TAM->TAM,P09
PROC->TEK,CAF->CAF,P09
PROC->TEK,CAF->ETC,P09
PROC->TEK,CAF->Endo,P09
PROC->TEK,ETC->CAF,P09
PROC->TEK,ETC->ETC,P09
PROC->TEK,ETC->Endo,P09
LRPAP1->LRP8,CAF->CAF,P09
LRPAP1->LRP8,CAF->ETC,P09
LRPAP1->LRP8,CAF->TAM,P09
LRPAP1->LRP8,DC->CAF,P09
LRPAP1->LRP8,DC->ETC,P09
LRPAP1->LRP8,DC->TAM,P09
LRPAP1->LRP8,ETC->CAF,P09
LRPAP1->LRP8,ETC->ETC,P09
LRPAP1->LRP8,ETC->TAM,P09
LRPAP1->LRP8,Endo->CAF,P09
LRPAP1->LRP8,Endo->ETC,P09
LRPAP1->LRP8,Endo->TAM,P09
LRPAP1->LRP8,TAM->CAF,P09
LRPAP1->LRP8,TAM->ETC,P09
LRPAP1->LRP8,TAM->TAM,P09
LRPAP1->LRP8,TIL->CAF,P09
LRPAP1->LRP8,TIL->ETC,P09
LRPAP1->LRP8,TIL->TAM,P09
CALCA->RAMP2,CAF->CAF,P09
CALCA->RAMP2,CAF->ETC,P09
CALCA->RAMP2,CAF->Endo,P09
CALCA->RAMP2,CAF->TAM,P09
CALCA->RAMP2,ETC->CAF,P09
CALCA->RAMP2,ETC->ETC,P09
CALCA->RAMP2,ETC->Endo,P09
CALCA->RAMP2,ETC->TAM,P09
RELN->LRP8,Endo->CAF,P09
RELN->LRP8,Endo->ETC,P09
RELN->LRP8,Endo->TAM,P09
CD226->NECTIN2,NA,NA
NECTIN2->CD226,NA,NA
INHA->TGFBR3,NA,NA
A2M->LRP1,CAF->CAF,P09
A2M->LRP1,CAF->ETC,P09
A2M->LRP1,CAF->Endo,P09
A2M->LRP1,CAF->TAM,P09
A2M->LRP1,DC->CAF,P09
A2M->LRP1,DC->ETC,P09
A2M->LRP1,DC->Endo,P09
A2M->LRP1,DC->TAM,P09
A2M->LRP1,ETC->CAF,P09
A2M->LRP1,ETC->ETC,P09
A2M->LRP1,ETC->Endo,P09
A2M->LRP1,ETC->TAM,P09
A2M->LRP1,Endo->CAF,P09
A2M->LRP1,Endo->ETC,P09
A2M->LRP1,Endo->Endo,P09
A2M->LRP1,Endo->TAM,P09
A2M->LRP1,TAM->CAF,P09
A2M->LRP1,TAM->ETC,P09
A2M->LRP1,TAM->Endo,P09
A2M->LRP1,TAM->TAM,P09
TNFSF13->SDC2,NA,NA
LRPAP1->LRP2,NA,NA
LRPAP1->LRP1,CAF->CAF,P09
LRPAP1->LRP1,CAF->ETC,P09
LRPAP1->LRP1,CAF->Endo,P09
LRPAP1->LRP1,CAF->TAM,P09
LRPAP1->LRP1,DC->CAF,P09
LRPAP1->LRP1,DC->ETC,P09
LRPAP1->LRP1,DC->Endo,P09
LRPAP1->LRP1,DC->TAM,P09
LRPAP1->LRP1,ETC->CAF,P09
LRPAP1->LRP1,ETC->ETC,P09
LRPAP1->LRP1,ETC->Endo,P09
LRPAP1->LRP1,ETC->TAM,P09
LRPAP1->LRP1,Endo->CAF,P09
LRPAP1->LRP1,Endo->ETC,P09
LRPAP1->LRP1,Endo->Endo,P09
LRPAP1->LRP1,Endo->TAM,P09
LRPAP1->LRP1,TAM->CAF,P09
LRPAP1->LRP1,TAM->ETC,P09
LRPAP1->LRP1,TAM->Endo,P09
LRPAP1->LRP1,TAM->TAM,P09
LRPAP1->LRP1,TIL->CAF,P09
LRPAP1->LRP1,TIL->ETC,P09
LRPAP1->LRP1,TIL->Endo,P09
LRPAP1->LRP1,TIL->TAM,P09
FGF7->FGFR2,CAF->CAF,P09
FGF7->FGFR2,CAF->ETC,P09
FGF7->FGFR2,CAF->Endo,P09
FGF7->FGFR2,CAF->TAM,P09
FGF7->FGFR2,ETC->CAF,P09
FGF7->FGFR2,ETC->ETC,P09
FGF7->FGFR2,ETC->Endo,P09
FGF7->FGFR2,ETC->TAM,P09
FGF7->FGFR2,Endo->CAF,P09
FGF7->FGFR2,Endo->ETC,P09
FGF7->FGFR2,Endo->Endo,P09
FGF7->FGFR2,Endo->TAM,P09
FGF7->FGFR2,TAM->CAF,P09
FGF7->FGFR2,TAM->ETC,P09
FGF7->FGFR2,TAM->Endo,P09
FGF7->FGFR2,TAM->TAM,P09
NRTN->RET,CAF->TAM,P09
NRTN->RET,ETC->TAM,P09
RGMA->NEO1,CAF->CAF,P09
RGMA->NEO1,CAF->ETC,P09
RGMA->NEO1,ETC->CAF,P09
RGMA->NEO1,ETC->ETC,P09
RGMA->NEO1,TAM->CAF,P09
RGMA->NEO1,TAM->ETC,P09
CCL24->CCR2,NA,NA
LAMA2->DAG1,CAF->CAF,P09
LAMA2->DAG1,CAF->ETC,P09
LAMA2->DAG1,CAF->Endo,P09
LAMA2->DAG1,CAF->TAM,P09
LAMA2->DAG1,CAF->TIL,P09
LAMA2->DAG1,ETC->CAF,P09
LAMA2->DAG1,ETC->ETC,P09
LAMA2->DAG1,ETC->Endo,P09
LAMA2->DAG1,ETC->TAM,P09
LAMA2->DAG1,ETC->TIL,P09
LAMA2->DAG1,TAM->CAF,P09
LAMA2->DAG1,TAM->ETC,P09
LAMA2->DAG1,TAM->Endo,P09
LAMA2->DAG1,TAM->TAM,P09
LAMA2->DAG1,TAM->TIL,P09
GDNF->GFRA1,CAF->CAF,P09
GDNF->GFRA1,ETC->CAF,P09
SHH->GPC5,ETC->ETC,P09
APELA->APLNR,NA,NA
PSAP->LRP1,CAF->CAF,P09
PSAP->LRP1,CAF->ETC,P09
PSAP->LRP1,CAF->Endo,P09
PSAP->LRP1,CAF->TAM,P09
PSAP->LRP1,DC->CAF,P09
PSAP->LRP1,DC->ETC,P09
PSAP->LRP1,DC->Endo,P09
PSAP->LRP1,DC->TAM,P09
PSAP->LRP1,ETC->CAF,P09
PSAP->LRP1,ETC->ETC,P09
PSAP->LRP1,ETC->Endo,P09
PSAP->LRP1,ETC->TAM,P09
PSAP->LRP1,Endo->CAF,P09
PSAP->LRP1,Endo->ETC,P09
PSAP->LRP1,Endo->Endo,P09
PSAP->LRP1,Endo->TAM,P09
PSAP->LRP1,TAM->CAF,P09
PSAP->LRP1,TAM->ETC,P09
PSAP->LRP1,TAM->Endo,P09
PSAP->LRP1,TAM->TAM,P09
PSAP->LRP1,TIL->CAF,P09
PSAP->LRP1,TIL->ETC,P09
PSAP->LRP1,TIL->Endo,P09
PSAP->LRP1,TIL->TAM,P09
NXPH1->NRXN3,CAF->CAF,P09
NXPH1->NRXN3,CAF->ETC,P09
PTN->PTPRB,CAF->ETC,P09
PTN->PTPRB,CAF->Endo,P09
PTN->PTPRB,ETC->ETC,P09
PTN->PTPRB,ETC->Endo,P09
PTN->PTPRB,Endo->ETC,P09
PTN->PTPRB,Endo->Endo,P09
PTN->PTPRB,TAM->ETC,P09
PTN->PTPRB,TAM->Endo,P09
ARTN->GFRA1,ETC->CAF,P09
MDK->LRP1,CAF->CAF,P09
MDK->LRP1,CAF->ETC,P09
MDK->LRP1,CAF->Endo,P09
MDK->LRP1,CAF->TAM,P09
MDK->LRP1,DC->CAF,P09
MDK->LRP1,DC->ETC,P09
MDK->LRP1,DC->Endo,P09
MDK->LRP1,DC->TAM,P09
MDK->LRP1,ETC->CAF,P09
MDK->LRP1,ETC->ETC,P09
MDK->LRP1,ETC->Endo,P09
MDK->LRP1,ETC->TAM,P09
MDK->LRP1,Endo->CAF,P09
MDK->LRP1,Endo->ETC,P09
MDK->LRP1,Endo->Endo,P09
