LR,Pval_PAAD-US,Pval_PACA-AU,Pval_PACA-CA,HR_PAAD-US,HR_PACA-AU,HR_PACA-CA,meta_Pval,adjPval
CCL17->ACKR1,0.018527976056639694,0.026664692815931867,0.7514323439375685,0.5789293542717004,0.5659168719746741,0.8534336385531861,0.08425788724083727,0.1918737251272832
CCL17->ACKR2,0.018527976056639694,0.6826428092313044,0.9944257872169336,0.5789293542717004,1.1724737113552457,1.0332289773613668,0.6442030502381304,0.4335349229075876
BMP10->ACVRL1,0.018559320884374175,0.6538170616765482,0.10203694902734384,0.629858469483565,1.1984932237846224,0.7701544550830762,0.07740467864529693,0.1870372736737154
GDF2->ACVRL1,0.018559320884374175,0.6538170616765482,0.06629662226403521,0.629858469483565,1.1984932237846224,0.7480872362130321,0.06717465320394417,0.17677579504095273
UCN3->CRHR2,0.018644779966886516,0.6939371718179623,0.11827737904776003,0.5043481290842301,0.9533455173177069,0.6991672886826124,0.09559413640092167,0.20392942826681992
TAC1->TACR3,0.01876564673800596,0.4913428296128167,0.39725286139948246,0.37465898863024455,1.1817334643422561,1.0941125788309969,0.12450579345521884,0.22467323843592849
CXCL8->CXCR2,0.018827011555172524,0.4220298401752125,0.18915472054113014,0.565189686396564,1.134071760834126,0.8771503494470326,0.04167679655946644,0.13921826826692862
NTF3->NTRK3,0.018906261468248475,0.004809837176317333,0.641110904566337,0.5867397466876539,0.47843629889611056,1.0367860189883045,0.04897502903096428,0.14911290077084016
BMP4->BMPR1B,0.019954270556392095,0.7477040455257506,0.20670748948757267,1.6486183985344565,0.9286429430229323,1.2979431030242823,0.15417531799109843,0.2446676632044965
CD226->NECTIN2,0.02008059537166429,0.007175154354950752,0.21211563952242962,0.5036945517562813,0.4661979334086736,0.9505621036037328,0.0022859433871502194,0.03143976455943227
NECTIN2->CD226,0.02008059537166429,0.007175154354950752,0.21211563952242962,0.5036945517562813,0.4661979334086736,0.9505621036037328,0.0022859433871502194,0.03143976455943227
IL33->IL1RL1,0.02043389285895214,0.2629736752881824,0.08198448709860173,0.47683290375954573,0.6300984315796608,0.6788355587018552,0.008130664675018684,0.06663559218139851
HBEGF->CD44,0.02050171755317065,0.7369308238727001,0.7108292272486691,1.8066273563780688,0.978275520172937,0.9431618554603325,0.47620698330820077,0.3892862299975909
BMP8A->BMPR1A,0.020859236415052163,0.03825783362456103,0.7143035099420845,0.5154611266942316,0.5972761355365506,1.0108879544753522,0.07710737558070135,0.1869533424170271
LRFN5->LRFN5,0.020892882373885757,0.9600007497277414,0.32184539510309695,0.5349116047185045,1.086048941897004,0.8494859883285362,0.3546128695863859,0.33901897593709024
PTN->PTPRS,0.020977104607980857,0.9825985491581014,0.26043715761572417,0.5084490899633759,0.8596966967709961,0.7592189451530085,0.3273903136990346,0.33030428223506547
SFRP1->FZD2,0.020994006030461754,0.12722108017956923,0.24325332326098037,0.551270223286611,0.7107634800738589,1.215060322437914,0.009998593532117326,0.0762030454588742
NPY->NPY4R,0.021040813585742724,0.09608639064501245,0.12018307331685762,0.43913564552563095,0.5776352796343953,1.2172003656447208,0.002227400903014997,0.03143976455943227
MYOC->FZD4,0.02134026935124489,0.013367541294782348,0.6987706007369243,0.5659198633989331,0.4788549475151972,0.9300229828038887,0.0657674126552695,0.17553238366354734
WNT9A->FZD4,0.02134026935124489,0.11393450287420503,0.7564791156039714,0.5659198633989331,0.6193260754921781,0.9220573624002243,0.11819083038189189,0.21824376497671807
EBI3->IL27RA,0.021388977655234065,0.7656134362436149,0.480415619142623,0.5084960808080558,0.9449306757738437,0.933629082294585,0.32975731654475987,0.33158149711016016
HSPG2->PTPRS,0.021955352613205137,0.3583268072300212,0.30523358573433745,0.5340223626296565,0.7546495721855374,0.8550346720541574,0.053690945651621046,0.15555503348259095
SELPLG->SELE,0.022008967611374608,0.077858670283526,0.7650803229716644,0.5249645188838479,0.6164227266396041,0.9938797101642858,0.10784963684757685,0.20958386485748962
PSPN->RET,0.022117082037736657,0.7560231727827738,0.28756621948750916,0.5000814636019166,1.0828136054273287,0.8152065817420456,0.20158401512363186,0.2647518561993726
CCL7->CCR2,0.02235378775362995,0.9094965215120238,0.43389951509655234,0.5695100281100225,1.057506639147858,0.8315949532328649,0.4001189034840647,0.35970301794202636
VEGFD->FLT4,0.02237997900342603,0.5043192060371797,0.12803539017200993,0.517193450338388,1.4029370192591948,0.7533835146550704,0.04677831530132542,0.14605202166908565
RSPO3->FZD8,0.022505374406003753,0.017593840249923054,0.03066919011095559,0.5040721461709999,0.5306492820507664,0.764031275401567,5.9069999568435956e-5,0.0027184834090064553
IL9->IL9R,0.022773933683461145,0.877347719558448,0.800996217228144,0.5528601268423882,1.1082570090520623,0.9069818974617825,0.6481267709745505,0.4354407888450551
GDNF->RET,0.022808500372359042,0.005324957020505061,0.7529059131572701,0.5013755370786488,0.45568493934993287,0.9550397328210655,0.07940859802203275,0.1877803217207019
PCNA->NCR2,0.02284398642412966,0.9910385242557043,0.27119253685923705,1.535804480633099,0.8965215616812773,1.1703782225727726,0.342115609459244,0.33529491235540987
ARTN->RET,0.023091420966652176,0.04314322723156094,0.3786062768408569,0.5214492525602258,0.5694285387229179,0.8492163776458566,0.014671109386754302,0.09031287030408178
TNFSF8->TNFRSF8,0.023270552118651477,0.5422358041525883,0.9583507422464437,0.6292537078222016,0.8951356356107893,0.8546235363744525,0.517888297710389,0.40190708091585525
ADAM12->SDC4,0.023410945519325987,0.5014697746704299,0.4077531119748292,1.774597915180986,0.8302226443249333,1.2870255658518166,0.1352017295031754,0.23310728372931944
TRH->TRHR,0.0234815276292496,0.325104626464805,0.5850854874048568,0.4291924651431331,1.3733676513207596,1.1571300957593091,0.1356535782580938,0.23321424898649096
F2->ITGA2B,0.023501791648229298,0.14891640831094732,0.18335112365444461,0.523863075058525,1.4797678783803163,1.109040365843231,0.00750506130169946,0.06509287504430104
HSPG2->ITGA2,0.02361428593210113,0.7759882723815464,0.7263378525555291,0.5894700774424456,0.9381833909600131,0.8970136557636826,0.5194494896752165,0.40190708091585525
CD34->SELL,0.023615382787360084,0.6457685770288912,0.04205104637766932,0.593365344453138,0.7941946614457551,0.7081124518522903,0.060014258168201086,0.16856907752785555
NLGN3->NRXN3,0.024129201228198616,0.009720272275497654,0.8416440265386297,0.5381575045944379,0.4809728922224055,1.064625606765503,0.11184267038807023,0.2104182863298078
BMP4->RGMB,0.024181022191840373,0.12150263168887143,0.43255341862374497,1.5873252752209468,0.6929483578390911,1.24983989778274,0.03222304264361813,0.12608130460201014
SLAMF1->SLAMF1,0.024600131472780284,0.3374223634836734,0.08480993426679984,0.5851579513453217,0.884606540397001,0.6352932682647681,0.014869035700422521,0.09031287030408178
WNT1->FZD8,0.024634321607970855,0.01657528615431836,0.01771661588776241,0.5201271663205292,0.4268915350921746,0.7154962760519025,3.410158609634085e-5,0.002226908838712128
WNT8A->FZD8,0.024634321607970855,0.01657528615431836,0.011391209238105215,0.5201271663205292,0.4268915350921746,0.6930238826105133,2.4256392906227406e-5,0.0019994205681181897
FGA->ITGA2B,0.025122764327161984,5.558365064169957e-4,0.04469519624712637,2.2925234170618474,3.4158602521835197,1.3341831439823961,5.8087368568162035e-5,0.0027184834090064553
CCL24->CCR3,0.0251390704838359,0.038863720528571566,0.4786308674065395,0.4786798841696197,0.42330696705656545,0.9049454457639307,0.026629863204360636,0.114619156133847
WNT5A->FZD6,0.025197582734811985,0.47197137702046355,0.9981879763079617,1.785831347857539,0.8853956010348405,1.0540053689880762,0.4965177354125515,0.3975181561246395
IL10->IL10RB,0.025380648585415777,0.2597196086573238,0.3694463379945274,0.5404152064762088,0.7813978761529652,0.9061686934584698,0.04673803548806638,0.14605202166908565
UCN2->IL10RB,0.025380648585415777,0.2597196086573238,0.24032736158329726,0.5404152064762088,0.7813978761529652,0.8679794701035992,0.024176166732683795,0.10810641211701258
LAMA3->SDC2,0.025420240773622482,0.38813206740185213,0.3585984933491305,1.512042284653766,1.3758771201071471,1.2840138742039333,0.07672822109322291,0.1869533424170271
SCT->VIPR2,0.025704852349025198,0.7592278953934947,0.08779009206975141,0.5106691468770003,0.9343392102429864,1.3807063171149976,0.11078418711905123,0.20958386485748962
FGF2->CD44,0.02579726638674762,0.6479964905023481,0.6760837680694729,1.8696829669855781,1.0594882047481498,0.9451519462264869,0.38853590165799146,0.35297444187800286
ICAM3->ITGB2,0.025862848960522045,0.278553204352161,0.279727453058067,0.5414159577954823,0.674115132588557,1.2313338674928316,0.033220595201688075,0.12822679360057357
