LR,cell_type_pair,number_of_patient
ECM1->ITGB4,Endo->CAF,6
ECM1->ITGB4,Endo->DC,3
ECM1->ITGB4,Endo->EMT,1
ECM1->ITGB4,Endo->Endo,6
ECM1->ITGB4,Endo->ETC,6
ECM1->ITGB4,Endo->TAM,6
ECM1->ITGB4,Endo->TIL,1
ECM1->ITGB4,ETC->CAF,9
ECM1->ITGB4,ETC->DC,5
ECM1->ITGB4,ETC->EMT,3
ECM1->ITGB4,ETC->Endo,7
ECM1->ITGB4,ETC->ETC,10
ECM1->ITGB4,ETC->TAM,9
ECM1->ITGB4,ETC->TIL,1
ECM1->ITGB4,TAM->CAF,7
ECM1->ITGB4,TAM->DC,4
ECM1->ITGB4,TAM->EMT,1
ECM1->ITGB4,TAM->Endo,6
ECM1->ITGB4,TAM->ETC,7
ECM1->ITGB4,TAM->TAM,7
ECM1->ITGB4,TAM->TIL,1
ECM1->ITGB4,TIL->CAF,1
ECM1->ITGB4,TIL->DC,1
ECM1->ITGB4,TIL->Endo,1
ECM1->ITGB4,TIL->ETC,1
ECM1->ITGB4,TIL->TAM,1
ECM1->ITGB4,TIL->TIL,1
EREG->ERBB4,CAF->CAF,3
EREG->ERBB4,CAF->DC,1
EREG->ERBB4,CAF->ETC,3
EREG->ERBB4,DC->CAF,4
EREG->ERBB4,DC->DC,1
EREG->ERBB4,DC->ETC,4
EREG->ERBB4,ETC->CAF,4
EREG->ERBB4,ETC->DC,1
EREG->ERBB4,ETC->ETC,4
EREG->ERBB4,TAM->CAF,4
EREG->ERBB4,TAM->DC,1
EREG->ERBB4,TAM->ETC,4
EREG->ERBB4,TIL->CAF,1
F7->F3,CAF->CAF,1
F7->F3,CAF->EMT,1
F7->F3,CAF->Endo,1
F7->F3,CAF->ETC,1
F7->F3,Endo->CAF,1
F7->F3,Endo->DC,1
F7->F3,Endo->Endo,1
F7->F3,Endo->ETC,1
F7->F3,ETC->CAF,1
F7->F3,ETC->DC,1
F7->F3,ETC->ETC,1
F7->F3,ETC->TAM,1
FGA->ITGA2B,DC->CAF,1
FGA->ITGA2B,DC->ETC,1
FGA->ITGA2B,EMT->DC,1
FGA->ITGA2B,EMT->EMT,1
FGA->ITGA2B,EMT->Endo,1
FGA->ITGA2B,ETC->CAF,3
FGA->ITGA2B,ETC->DC,2
FGA->ITGA2B,ETC->EMT,1
FGA->ITGA2B,ETC->Endo,1
FGA->ITGA2B,ETC->ETC,4
FGA->ITGA2B,ETC->TAM,2
FGA->ITGA2B,TAM->CAF,1
FGA->ITGA2B,TAM->DC,1
FGA->ITGA2B,TAM->ETC,1
FGA->ITGB3,DC->CAF,1
FGA->ITGB3,EMT->CAF,2
FGA->ITGB3,EMT->DC,1
FGA->ITGB3,EMT->EMT,2
FGA->ITGB3,EMT->Endo,1
FGA->ITGB3,ETC->CAF,5
FGA->ITGB3,ETC->DC,1
FGA->ITGB3,ETC->EMT,2
FGA->ITGB3,ETC->Endo,3
FGA->ITGB3,ETC->ETC,3
FGA->ITGB3,ETC->TAM,2
FGA->ITGB3,TAM->CAF,1
FGA->ITGB3,TAM->Endo,1
FGA->ITGB3,TAM->ETC,1
FGA->ITGB3,TAM->TAM,1
FGB->ITGA2B,EMT->DC,1
FGB->ITGA2B,EMT->EMT,1
FGB->ITGA2B,EMT->Endo,1
FGB->ITGA2B,ETC->CAF,2
FGB->ITGA2B,ETC->DC,2
FGB->ITGA2B,ETC->EMT,1
FGB->ITGA2B,ETC->Endo,1
FGB->ITGA2B,ETC->ETC,3
