LR,cell_type_pair,Patient
LAMC2->ITGB1,EMT->ETC,P01
LAMC2->ITGB1,EMT->Endo,P01
LAMC2->ITGB1,EMT->TIL,P01
LAMC2->ITGB1,ETC->CAF,P01
LAMC2->ITGB1,ETC->DC,P01
LAMC2->ITGB1,ETC->EMT,P01
LAMC2->ITGB1,ETC->ETC,P01
LAMC2->ITGB1,ETC->Endo,P01
LAMC2->ITGB1,ETC->TIL,P01
LAMC2->ITGB1,Endo->CAF,P01
LAMC2->ITGB1,Endo->DC,P01
LAMC2->ITGB1,Endo->EMT,P01
LAMC2->ITGB1,Endo->ETC,P01
LAMC2->ITGB1,Endo->Endo,P01
LAMC2->ITGB1,Endo->TIL,P01
LAMC2->ITGB1,TIL->CAF,P01
LAMC2->ITGB1,TIL->DC,P01
LAMC2->ITGB1,TIL->EMT,P01
LAMC2->ITGB1,TIL->ETC,P01
LAMC2->ITGB1,TIL->Endo,P01
LAMC2->ITGB1,TIL->TIL,P01
CALR->ITGA3,CAF->CAF,P01
CALR->ITGA3,CAF->EMT,P01
CALR->ITGA3,CAF->ETC,P01
CALR->ITGA3,DC->CAF,P01
CALR->ITGA3,DC->EMT,P01
CALR->ITGA3,DC->ETC,P01
CALR->ITGA3,EMT->CAF,P01
CALR->ITGA3,EMT->EMT,P01
CALR->ITGA3,EMT->ETC,P01
CALR->ITGA3,ETC->CAF,P01
CALR->ITGA3,ETC->EMT,P01
CALR->ITGA3,ETC->ETC,P01
CALR->ITGA3,Endo->CAF,P01
CALR->ITGA3,Endo->EMT,P01
CALR->ITGA3,Endo->ETC,P01
